date,close,high,low,open,volume,symbol,market_cap
2023-09-11,0.241873,0.249382,0.237626,0.24904,1.3547834e+08,ADA,3.5e+10
2023-09-12,0.24587,0.251331,0.241102,0.241868,1.20715896e+08,ADA,3.5e+10
2023-09-13,0.248884,0.249715,0.243924,0.245869,1.0370708e+08,ADA,3.5e+10
2023-09-14,0.251181,0.252265,0.246928,0.248884,1.1143059e+08,ADA,3.5e+10
2023-09-15,0.250643,0.254678,0.245705,0.251186,1.26290024e+08,ADA,3.5e+10
2023-09-16,0.250436,0.253605,0.248867,0.2506,8.872325e+07,ADA,3.5e+10
2023-09-17,0.247316,0.251167,0.2458,0.250431,8.581785e+07,ADA,3.5e+10
2023-09-18,0.251743,0.255868,0.245121,0.247327,1.23063384e+08,ADA,3.5e+10
2023-09-19,0.25526,0.257544,0.251228,0.251741,1.05915016e+08,ADA,3.5e+10
2023-09-20,0.25163,0.256033,0.250999,0.255268,1.0683362e+08,ADA,3.5e+10
2023-09-21,0.245455,0.252905,0.24544,0.25164,2.4824248e+08,ADA,3.5e+10
2023-09-22,0.244922,0.246383,0.243236,0.245458,1.2037826e+08,ADA,3.5e+10
2023-09-23,0.246133,0.246675,0.243996,0.244916,6.876149e+07,ADA,3.5e+10
2023-09-24,0.243026,0.246228,0.242565,0.246136,7.50042e+07,ADA,3.5e+10
2023-09-25,0.245881,0.246064,0.242182,0.243028,1.16640936e+08,ADA,3.5e+10
2023-09-26,0.245395,0.247396,0.243954,0.245872,1.0628246e+08,ADA,3.5e+10
2023-09-27,0.244791,0.247922,0.243107,0.245391,1.0785543e+08,ADA,3.5e+10
2023-09-28,0.24912,0.250441,0.243497,0.244789,1.3320651e+08,ADA,3.5e+10
2023-09-29,0.249536,0.255447,0.247974,0.249114,1.6841405e+08,ADA,3.5e+10
2023-09-30,0.254047,0.254673,0.249322,0.249539,1.0803997e+08,ADA,3.5e+10
2023-10-01,0.265895,0.267471,0.254019,0.254043,1.650882e+08,ADA,3.5e+10
2023-10-02,0.259513,0.269036,0.258258,0.265888,2.1268477e+08,ADA,3.5e+10
2023-10-03,0.261028,0.264218,0.25809,0.259486,1.602168e+08,ADA,3.5e+10
2023-10-04,0.259315,0.26105,0.254574,0.261032,1.3812862e+08,ADA,3.5e+10
2023-10-05,0.260149,0.263718,0.257044,0.259293,1.03200696e+08,ADA,3.5e+10
2023-10-06,0.264872,0.266558,0.260151,0.260151,9.370635e+07,ADA,3.5e+10
2023-10-07,0.258735,0.265521,0.257214,0.264865,1.168217e+08,ADA,3.5e+10
2023-10-08,0.256629,0.259127,0.255947,0.258752,7.762484e+07,ADA,3.5e+10
2023-10-09,0.251642,0.258533,0.249425,0.25661,1.3455347e+08,ADA,3.5e+10
2023-10-10,0.249141,0.253101,0.247501,0.251631,1.1018351e+08,ADA,3.5e+10
2023-10-11,0.248001,0.249481,0.245405,0.249127,1.1388069e+08,ADA,3.5e+10
2023-10-12,0.245922,0.248071,0.243176,0.247999,9.220845e+07,ADA,3.5e+10
2023-10-13,0.246146,0.249159,0.245187,0.245911,9.91664e+07,ADA,3.5e+10
2023-10-14,0.247011,0.247656,0.245249,0.246146,7.192037e+07,ADA,3.5e+10
2023-10-15,0.247356,0.248246,0.245786,0.246998,8.152465e+07,ADA,3.5e+10
2023-10-16,0.251563,0.257798,0.247346,0.247346,1.8709936e+08,ADA,3.5e+10
2023-10-17,0.247115,0.251676,0.246613,0.251558,1.3195376e+08,ADA,3.5e+10
2023-10-18,0.243453,0.247931,0.243062,0.247103,1.0799218e+08,ADA,3.5e+10
2023-10-19,0.246923,0.246924,0.240656,0.243453,1.20374376e+08,ADA,3.5e+10
2023-10-20,0.251138,0.252718,0.245981,0.246938,1.3787864e+08,ADA,3.5e+10
2023-10-21,0.258585,0.261917,0.249984,0.251122,1.385594e+08,ADA,3.5e+10
2023-10-22,0.263573,0.264044,0.256831,0.258589,1.21687464e+08,ADA,3.5e+10
2023-10-23,0.279954,0.279954,0.262487,0.265028,3.1391194e+08,ADA,3.5e+10
